
 num     #instances         #bytes  class name
----------------------------------------------
   1:       1363697       38324568  [B
   2:        683467       21992984  [C
   3:        683533       21873056  java.lang.String
   4:        681797       21817504  java.util.HashMap$Entry
   5:        681320       21802240  com.dianping.fkv.Record
   6:           161        4217008  [Ljava.util.HashMap$Entry;
   7:          9880        1350384  <methodKlass>
   8:          9880        1294000  <constMethodKlass>
   9:           801         857720  <constantPoolKlass>
  10:         15219         692120  <symbolKlass>
  11:           750         602160  <constantPoolCacheKlass>
  12:           801         574696  <instanceKlassKlass>
  13:           918          95472  java.lang.Class
  14:          1178          77768  [S
  15:          1248          70264  [[I
  16:           987          51936  [I
  17:            88          51392  <objArrayKlassKlass>
  18:           127          48944  <methodDataKlass>
  19:           383          17400  [Ljava.lang.Object;
  20:           315          12600  java.util.LinkedHashMap$Entry
  21:           325          10400  java.util.Hashtable$Entry
  22:           288           6912  java.util.LinkedList$Entry
  23:           256           6144  java.lang.Long
  24:            68           5984  java.lang.reflect.Method
  25:           120           5760  java.util.HashMap
  26:             8           4672  <typeArrayKlassKlass>
  27:           259           4144  java.lang.Integer
  28:            54           3456  java.net.URL
  29:            17           3328  [Ljava.util.Hashtable$Entry;
  30:            79           3160  java.math.BigInteger
  31:            75           3000  java.lang.ref.SoftReference
  32:            70           2768  [Ljava.lang.String;
  33:           114           2736  sun.security.util.ObjectIdentifier
  34:            48           2688  java.security.Provider$Service
  35:           102           2448  java.util.LinkedList
  36:            12           2304  <klassKlass>
  37:            93           2232  java.security.Provider$ServiceKey
  38:            39           2184  java.util.LinkedHashMap
  39:            48           1920  java.util.concurrent.ConcurrentHashMap$Segment
  40:            26           1872  java.lang.reflect.Constructor
  41:            49           1568  java.util.concurrent.locks.ReentrantLock$NonfairSync
  42:            35           1400  java.lang.ref.Finalizer
  43:            30           1200  sun.misc.RegexpNode
  44:            48           1192  [Ljava.util.concurrent.ConcurrentHashMap$HashEntry;
  45:            20           1120  java.util.jar.JarFile
  46:            46           1104  java.security.Provider$UString
  47:            44           1056  java.util.ArrayList
  48:             1           1040  [Ljava.lang.Long;
  49:             1           1040  [Ljava.lang.Integer;
  50:            31            992  java.util.concurrent.ConcurrentHashMap$HashEntry
  51:            30            960  java.security.Provider$EngineDescription
  52:            45            960  [Ljava.lang.Class;
  53:             7            928  [Z
  54:            28            896  java.util.Vector
  55:             8            896  java.lang.Thread
  56:            20            800  sun.misc.URLClassPath$JarLoader
  57:            23            736  sun.security.util.DerValue
  58:            23            736  sun.security.util.DerInputBuffer
  59:            23            736  sun.security.x509.OIDMap$OIDInfo
  60:            12            672  java.lang.Package
  61:            16            640  java.io.ObjectStreamField
  62:             8            640  java.util.jar.JarFile$JarFileEntry
  63:             4            624  [J
  64:            19            608  java.util.Locale
  65:            37            592  java.lang.Object
  66:            12            576  java.util.Hashtable
  67:            23            552  sun.security.util.DerInputStream
  68:            21            504  sun.security.x509.RDN
  69:            21            504  sun.security.x509.AVA
  70:            21            504  [Lsun.security.x509.AVA;
  71:            21            504  sun.security.x509.AVAKeyword
  72:            20            480  sun.reflect.annotation.AnnotationInvocationHandler
  73:            14            448  java.lang.ref.WeakReference
  74:            13            416  java.security.AccessControlContext
  75:            17            408  java.lang.ProcessEnvironment$Value
  76:            17            408  java.lang.ProcessEnvironment$Variable
  77:            17            408  java.util.jar.Attributes$Name
  78:            10            400  java.util.WeakHashMap$Entry
  79:             3            344  [Ljava.math.BigInteger;
  80:            14            336  [Ljava.lang.Byte;
  81:             4            320  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
  82:            10            320  sun.security.jca.ProviderConfig
  83:            13            312  org.junit.runner.Description
  84:             3            312  [D
  85:            12            288  sun.reflect.NativeConstructorAccessorImpl
  86:            13            280  [Ljava.lang.annotation.Annotation;
  87:             9            264  [Ljava.lang.annotation.ElementType;
  88:             8            256  sun.misc.ProxyGenerator$PrimitiveTypeInfo
  89:             8            256  java.lang.OutOfMemoryError
  90:            16            256  java.lang.Byte
  91:             8            256  sun.reflect.annotation.AnnotationType
  92:            10            240  java.io.File
  93:             3            240  [Ljava.util.concurrent.ConcurrentHashMap$Segment;
  94:             7            224  java.lang.ref.ReferenceQueue
  95:             9            224  [Ljava.io.ObjectStreamField;
  96:             9            216  sun.misc.JarIndex
  97:             9            216  java.util.Arrays$ArrayList
  98:             5            200  java.security.ProtectionDomain
  99:             4            192  sun.security.x509.X500Name
 100:             6            192  sun.security.x509.AlgorithmId
 101:            12            192  java.util.HashMap$EntrySet
 102:             2            192  sun.security.provider.Sun
 103:             4            192  java.nio.HeapByteBuffer
 104:            12            192  sun.reflect.DelegatingConstructorAccessorImpl
 105:             6            192  java.security.Permissions
 106:             6            192  java.util.zip.Inflater
 107:             8            192  java.lang.annotation.ElementType
 108:             3            168  sun.nio.cs.StreamEncoder
 109:             7            168  java.io.FileDescriptor
 110:             7            168  sun.security.x509.NetscapeCertTypeExtension$MapEntry
 111:             7            168  java.lang.RuntimePermission
 112:             5            160  java.util.regex.Pattern$Branch
 113:             5            160  java.security.CodeSource
 114:             5            160  java.security.BasicPermissionCollection
 115:             5            160  java.io.FilePermission
 116:            10            160  java.util.Formatter$Flags
 117:             2            160  [Ljava.util.WeakHashMap$Entry;
 118:             4            152  [Lsun.security.x509.RDN;
 119:             3            144  java.io.BufferedWriter
 120:             6            144  java.util.regex.Pattern$GroupTail
 121:             9            144  java.lang.ref.ReferenceQueue$Lock
 122:             6            144  java.util.regex.Pattern$GroupHead
 123:             2            144  sun.security.x509.X509CertImpl
 124:             3            144  sun.nio.cs.UTF_8$Encoder
 125:             6            144  java.util.zip.ZStreamRef
 126:             3            144  java.util.concurrent.ConcurrentHashMap
 127:             2            144  java.lang.reflect.Field
 128:             8            128  java.util.concurrent.atomic.AtomicInteger
 129:             4            128  java.util.regex.Pattern$Curly
 130:             4            128  java.lang.ThreadLocal$ThreadLocalMap$Entry
 131:             5            120  sun.misc.URLClassPath$FileLoader
 132:             5            120  java.io.FilePermissionCollection
 133:             5            120  sun.security.jca.ServiceId
 134:             1            120  org.eclipse.jdt.internal.junit.runner.RemoteTestRunner$ReaderThread
 135:             1            120  java.net.SocksSocketImpl
 136:             5            120  [Ljava.util.regex.Pattern$Node;
 137:             7            112  $Proxy0
 138:             2            112  java.io.ExpiringCache$1
